department,n_publications_ref,hbsag_prevalence,anti_hbc_prevalence,cases_2000_2024,incidence,source
Lima,89,0.2,6.2,5284,2.3,"anti-HBc/HBsAg: Cabezas 2020 PLoS ONE 15(6):e0234273 (Table 2); cases: MINSA via Ango-Aguilar 2025 Vaccines 13(9):916 (Table S1); incidence = cases/person-years (INEI proy_03_4, 2000-2024) x1e5"
Ayacucho,19,1.78,51.7,2774,17.2,"see Lima row for sources"
Loreto,18,1.25,16.3,1536,6.4,"see Lima row"
Callao,17,1.24,4.96,241,1.0,"see Lima row"
La Libertad,14,0,2.3,453,1.0,"see Lima row"
Apurímac,13,1.23,9.8,762,7.1,"see Lima row"
Cusco,11,3.1,45.3,3650,11.5,"see Lima row"
Junín,10,0.5,11.1,2068,6.4,"see Lima row"
Amazonas,9,1.2,26.8,321,3.1,"see Lima row"
Ucayali,8,0,37.2,1604,12.8,"see Lima row"
Áncash,8,0,0.51,123,0.4,"see Lima row"
Arequipa,8,0,3.7,1258,3.9,"see Lima row"
Cajamarca,7,0,6.6,195,0.5,"see Lima row"
Ica,5,0.75,3.8,136,0.7,"see Lima row"
Piura,5,0,2.4,147,0.3,"see Lima row"
Lambayeque,4,0,5.0,368,1.2,"see Lima row"
Madre de Dios,3,0,15.0,328,9.6,"see Lima row"
Tacna,3,0,3.6,44,0.5,"see Lima row"
Huánuco,3,0,25.4,1232,6.4,"see Lima row"
San Martín,2,0,9.2,645,3.2,"see Lima row"
Moquegua,2,0,1.8,35,0.8,"see Lima row"
Tumbes,1,0,17.0,37,0.7,"see Lima row"
Pasco,1,0,34.5,510,7.4,"see Lima row"
Puno,1,0.43,3.5,108,0.3,"see Lima row"
Huancavelica,0,0,8.23,268,2.6,"see Lima row"
