Departamento;Casos absolutos;Población INEI 2023;Incidencia;Publicaciones;;;;;;
Amazonas;40;436975;0.92;9;;;;;;
Áncash;2;1203622;0.02;8;;;;;;
Apurímac;103;430704;2.39;13;;;;;;
Arequipa;98;1578244;0.62;8;;;;;;
Ayacucho;249;672901;3.70;19;;;;;;
Cajamarca;39;1462967;0.27;7;;;;;;
Callao;6;1190504;0.05;17;;;;;;
Cusco;271;1395180;1.94;11;;;;;;
Huancavelica;94;348456;2.70;0;;;;;;
Huánuco;80;759307;1.05;3;;;;;;
Ica;4;1038328;0.04;5;;;;;;
Junín;209;1382377;1.51;10;;;;;;
La Libertad;19;2107450;0.09;14;;;;;;
Lambayeque;13;1356202;0.10;4;;;;;;
Lima;492;11170333;0.44;89;;;;;;
Loreto;161;1062366;1.52;18;;;;;;
Madre de Dios;18;191400;0.94;3;;;;;;
Moquegua;20;200674;1.00;2;;;;;;
Pasco;31;271173;1.14;1;;;;;;
Piura;12;2130677;0.06;5;;;;;;
Puno;6;1219625;0.05;1;;;;;;
San Martín;87;940143;0.93;2;;;;;;
Tacna;1;390222;0.03;3;;;;;;
Tumbes;1;263123;0.04;1;;;;;;
Ucayali;335;630485;5.31;8;;;;;;
